"GEOID","CZ20"
"01069",3
"01023",9
"01005",3
"01107",4
"01033",10
"04012",37
"04001",32
"05081",55
"05121",46
"06037",37
"06097",58
"06001",58
"06045",67
"06015",63
"08077",79
"08083",74
"08067",74
"06055",58
"10005",89
"12086",96
"12071",99
"12037",102
"12033",100
"17031",152
"17017",146
"17109",146
"13245",116
"17041",148
"13103",115
"16027",129
"26103",261
"18061",168
"19177",178
"19045",158
"19163",156
"18161",172
"26107",275
"26063",272
"36067",384
"20175",215
"36071",388
"08031",72
"36017",383
"21101",231
"21195",236
"08019",72
"08055",83
"21093",230
"21127",236
"26099",272
"21135",228
"22051",240
"22111",243
"22067",243
"08091",79
"23013",248
"23015",248
"02170",15
"02290",18
"24005",252
"24047",89
"24031",253
"01051",1
"01009",5
"25001",254
"25013",258
"26041",261
"01025",2
"01055",8
"26013",265
"01115",5
"01065",4
"27137",283
"27107",279
"27173",284
"28087",302
"29031",312
"29201",312
"29081",317
"30031",326
"30071",340
"30085",337
"30089",343
"31103",352
"34011",368
"34041",369
"34005",368
"34023",369
"35041",374
"37031",402
"37165",398
"37009",395
"37075",123
"38105",342
"38085",417
"39123",429
"39125",427
"39035",420
"40095",435
"40013",435
"40023",57
"41033",457
"41045",129
"41001",447
"41021",453
"42045",90
"42049",385
"42059",463
"45053",471
"45043",474
"45091",394
"45057",394
"46009",354
"47065",118
"47163",489
"47009",486
"47019",489
"48273",499
"48391",499
"48201",501
"48443",532
"48229",375
"48205",379
"48351",239
"54107",430
"49037",538
"49033",132
"50027",367
"51119",555
"51131",541
"51117",397
"51133",554
"51051",553
"51107",551
"51181",401
"53027",450
"53053",561
"53047",135
"53071",460
"02066",17
"54031",251
"54023",251
"55121",296
"55037",271
"02100",20
"56045",579
"05013",44
"05061",45
"05099",45
"05103",44
"06063",68
"06101",62
"06021",61
"08015",76
"08065",80
"08027",78
"12097",98
"12119",98
"12107",93
"13219",120
"13135",109
"13009",108
"13001",106
"13271",121
"13217",117
"13163",116
"13267",115
"13317",116
"13319",108
"13237",108
"13079",113
"16013",134
"16023",131
"16025",134
"17065",151
"18055",173
"18051",162
"18027",162
"19039",187
"19001",175
"20027",205
"20171",217
"20047",204
"21115",236
"21175",223
"21095",237
"21187",221
"21097",221
"21197",223
"21069",228
"21063",226
"21079",221
"22069",244
"22081",244
"22001",238
"23007",248
"25015",258
"26095",268
"27097",280
"27023",284
"27139",278
"27087",279
"28121",299
"28083",301
"29113",160
"29167",310
"29207",312
"30013",325
"30093",331
"30055",337
"30059",326
"30033",334
"31071",359
"31115",359
"31075",360
"36053",384
"36077",383
"36051",390
"37147",405
"37085",398
"37079",405
"37125",398
"37023",392
"37021",400
"37093",398
"38073",413
"38007",344
"39101",419
"40027",437
"42071",462
"42043",462
"42067",468
"42027",468
"42035",466
"42063",464
"42099",462
"45077",470
"45041",474
"45087",407
"46103",479
"46095",356
"47035",494
"47021",490
"47005",488
"47041",492
"47129",486
"47185",492
"47151",486
"47107",118
"47117",487
"47003",487
"48373",498
"48139",445
"48491",502
"48213",497
"48005",498
"48441",512
"48199",239
"48055",502
"48063",55
"48395",506
"48223",516
"48225",497
"48341",379
